food_id,dish_name,description,dish_type,serving_size,cooking_time,ingredients,cooking_method,dish_tags,calories,fat,fiber,sugar,protein,image_link,nutrient_content
903,Chả giò rong biển,"Khám phá công thức biến tấu sáng tạo và ngon miệng cho món chả giò quen thuộc Khác với chả giò thông thường, món ăn có phần nhân thơm mùi rong biển, cần tây, thanh ngọt của hải sản, cộng thêm giòn giòn của mực và củ năng rất vui miệng. Miếng chả giò giòn rượm, thơm phức và vừa miệng được chấm xốt cay cay, béo nhẹ từ xốt mayonnaise giúp món ăn càng hấp dẫn hơn.",Món mặn,4 người,40,"Nạc dăm xay : 50g, Giò sống : 50g, Tôm sú lột vỏ : 100g, Mực tươi : 100g, Củ năng băm : 2 muỗng, Cần tây băm nhỏ : 2 muỗng, Hành tây băm : 2 muỗng, Cà rốt băm : 1 muỗng, Lòng trắng trứng : 1 cái, Rong biển lá : 5 lá chọn lá rong biển chưa chiên, có màu xanh, Tỏi băm, mè trắng, Muối, đường, tiêu sọ giã bể, bột năng, Tương ớt, dầu ăn, nước mắm, Hạt nêm Aji-ngon Heo, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Cắt miếng rong biển thành những miếng kích cỡ 3x5cm. Trải miếng rong biển ra, đặt nhân lên trên, cuốn tròn lá rong biển quanh nhân. Hai đầu cuốn chả nhúng qua mè trắng. Cho chả giò vào lò vi sóng làm chín trong 2 phút ở nhiệt độ cao. Lấy ra để nguội, cho vào chảo dầu chiên đến khi mè vừa vàng với nhiệt độ vừa, vớt ra để ráo dầu.","chả giò, rong biển",309,12,4,28,19,https://monngonmoingay.com/wp-content/uploads/2015/10/ChaGioRongBien_5401-e1443787639625.jpg,"309, 12, 4, 28, 19"
904,Salad sò điệp chiên giòn,"Thêm một gợi ý salad kết hợp với hải sản cực cùng vị ngon thanh mát ăn hoài không chán Với nguyên liệu chính là cồi sò điệp, lê, bông cải xanh, cà rốt, thanh cua dễ tìm, chỉ cần vài phút chuẩn bị là món salad đẳng cấp nhà hàng đã hoàn thành rồi - Cùng thực hiện ngay nha",Món mặn,4 người,20,"Cồi sò điệp: 150g, Lê: 1 quả, Bông cải xanh: 150g, Cà rốt: 100g, Thanh cua: 5 thanh, Húng lủi: 1 chén, Gia vị: tiêu, nước cốt chanh, dầu ăn, Hạt nêm Aji-ngon Gà, Gia vị nêm sẵn Aji-Quick Bột chiên giòn Tên cũ: Bột Chiên Giòn Hải Sản, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Sò điệp ướp chút tiêu xay, 1 muỗng nước cốt chanh, 1 muỗng Gia vị nêm sẵn Aji-Quick Bột chiên giòn khô, phần Gia vị nêm sẵn Aji-Quick Bột chiên giòn còn lại pha với nước theo tỉ lệ như bao bì. Chiên: Tẩm sò điệp vào bột và chiên vàng. Cho vào dầu nóng chiên vàng, vớt ra để lên giấy thấm dầu.","chiên giòn, món chiên dễ làm, salad, sò điệp",275,26,6,10,27,https://monngonmoingay.com/wp-content/uploads/2020/02/salad-so-diep-chien-gion.webp,"275, 26, 6, 10, 27"
905,Salad dưa leo trộn xúc xích,"Sau ngày bận rộn, món gì dễ làm, nhanh chóng ,tốt sức khỏe đãi cả nhà nhỉ Hãy thử tài với món Salad dưa leo xúc xích. Salad giòn giòn, mát lạnh thơm thì là, thêm xúc xích với sốt Mayonnaise Aji-mayo beo béo. Vừa ngon, vừa bổ dưỡng, lại bắt mắt tươi mát cho ngày hè, ngại gì không thử",Món mặn,4 người,20,"Dưa leo 1 quả, Cà chua 1 quả, Khoai tây 1 củ, Cầy tây 1 nhánh, Húng lũi, thì là mỗi loại 1 ít, Sữa chua 1 hũ, Xúc xích xông khói 1 cây, RAU NÊM: ½ Hành tây, Gia vị: dầu ăn, nước cốt chanh, tiêu, mật ong, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Xúc xích xông khói khứa trên cây xúc xích vài đường, áp chảo cho thơm, cắt vuông 1.5cm. Pha xốt rau thơm: 2 muỗng xốt Mayonnaise Aji-mayo, 1 muỗng sữa chua, 1 muỗng rau húng lũi băm nhỏ, 1 muỗng thì là băm nhỏ, 1/2 muỗng nước cốt chanh, 1 muỗng mật ong, 1 ít tiêu, trộn đều.","salad, salad dua leo, salad dua leo tron xuc xich, xúc xích",216,18,10,22,36,https://monngonmoingay.com/wp-content/uploads/2018/03/salad-dua-leo-500-min.jpg,"216, 18, 10, 22, 36"
906,Lẩu cá hồng nhúng giấm,"Cá hồng nấu riêu chắc hẳn là món ai cũng biết. Nhưng bạn đã nghe tới lẩu cá hồng nhúng giấm bao giờ chưa Chỉ cần 15 phút chế biến, bạn đã có ngay một nồi lẩu chua ngọt đúng vị để quây quần cùng gia đình rồi. Đặc biệt lần này đầu bếp sẽ hướng dẫn các bạn cách để tăng vị đậm đà cho cá, hãy cùng vào bếp nào",Món mặn,4 người,50,"Cá điêu hồng phi lê 1 con giữ đầu và đuôi để trang trí, Cà chua 3 trái, Sả bào mỏng 1/2 chén, Sả cây đập dập 3 cây, Hành lá 100g, Thì là 100g, Ớt sừng cắt sợi 1 trái, Rau cần nước 200g, Tỏi băm 2 muỗng, Bún tươi 1/2kg, Nước cốt chanh, ớt, Muối, đường, nước mắm, Hạt nêm Aji-ngon Heo, Bột ngọt AJI-NO-MOTO, Giấm gạo lên men Ajinomoto","Đặt nồi lên bếp, cho tỏi băm vào, phi thơm. Cho cà chua vào xào với 1/2 muỗng muối, 1/2 muỗng đường, thêm 1 chén giấm gạo lên men LISAvà 1.5 lít nước vào. Nêm thêm 1 muỗng muối, 1 muỗng bột ngọt AJI-NO-MOTO, 1 muỗng hạt nêm Aji-ngon Heo, 3 muỗng đường. Đun sôi đảo đều cho đến hỗn hợp sôi và tan gia vị.","cá điêu hồng, lẩu cá, món lẩu cá",266,15,7,24,9,https://monngonmoingay.com/wp-content/uploads/2016/08/58-lau-ca-hong-nhung-giam-540-360.jpg,"266, 15, 7, 24, 9"
907,Chả tôm chiên mặt nguyệt,"Chà chà, món gì mà chỉ cần nghe tên đã thấy hấp dẫn tò mò rồi đây ta Cùng khám phá ngay cách thực hiện món Tôm Chiên Mặt Nguyệt vừa đẹp mắt, vừa ngon miệng ngay nhé",Món mặn,4 người,45,"Bánh tráng gạo loại mỏng 1 gói, Tôm sú tươi bóc vỏ 150g, Tôm đông lạnh 50g, Trứng gà ta 1 quả, Giò sống 50g, Cà rốt cắt hạt lựu 1 muỗng, Đậu cô ve cắt nhỏ 2 muỗng, Ớt sừng 1 trái, Bột xù 1 muỗng, Hành tỏi phi, đầu hành lá, ngò rí cắt nhỏ, ĂN KÈM: Tương cà, Gia vị: tiêu, đường, dầu ăn, Hạt nêm Aji-ngon Heo, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Làm chả tôm: Quết tôm sú với đầu hành lá cho nhuyễn, sau đó cho giò sống, tôm hạt lựu, cà rốt và đậu cô ve vào, thêm 1 muỗng hành tỏi phi, 1/2 muỗng Hạt nêm Aji-ngon Heo, 1/4 muỗng đường, 1/4 muỗng tiêu, 1 muỗng bột xù, lòng trắng trứng và một ít ngò rí cắt nhỏ, trộn đều. Tạo hình: Chia chả tôm thành viên tròn cỡ quả chanh nhỏ, ấn dẹp, đặt 1 muỗngiếng ớt sừng lên mặt chả. Sử dùng 2 muỗngiếng bánh tráng, thoa lòng đỏ trứng lên một mặt của mỗi bánh, ép mặt quết trứng lên 2 muỗngặt của miếng chả và ép dẹp lại. Độ dày của miếng chả cỡ 6 ly. Chiên chả tôm: Chiên chả với chảo sâu nhiều dầu, lửa vừa. Chả vừa chín vàng đều là vớt ra ngay, đặt lên giấy thấm dầu. Pha xốt: trộn 2 muỗng Xốt Mayonnaise Aji-mayo với 1 muỗng tương cà.","chả chiên, cha tom",346,30,3,22,33,https://monngonmoingay.com/wp-content/uploads/2020/05/cha-tom-chien-mat-nguyet.webp,"346, 30, 3, 22, 33"
908,Bạch tuộc xào rượu gừng,"Bạch tuộc xào với lửa lớn, đảo đều với riềng và gừng dậy nên hương thơm hấp dẫn khắp căn bếp, đang xào mà cứ muốn ăn vụng thôi. Dọn ra mời cả nhà đĩa bạch tuộc chín săn, ăn vào giòn sực sực cho bữa cơm cuối tuần thêm đậm đà.",Món mặn,4 người,25,"Bạch tuộc 500g, Hành lá 50g, Gừng 50g, Riềng 50g, Ớt sừng 1 quả, Đường, tiêu, ngò rí, rượu trắng, dầu ăn, Hạt nêm Aji-ngon Heo, Giấm gạo lên men Ajinomoto, Nước tương Phú Sĩ","Xào thơm riềng và gừng cắt sợi với dầu ăn, cho bạch tuộc vào xào lửa lớn đến khi vừa chín, thêm hành lá, ớt cắt sợi vào đảo đều, tắt lửa.","bach tuoc, bạch tuộc rượu gừng, bạch tuộc xào, món ăn bạch tuộc, món bạch tuộc",198,13,6,26,9,https://monngonmoingay.com/wp-content/uploads/2018/06/bach-tuoc-xao-ruou-gung.jpg,"198, 13, 6, 26, 9"
909,Mực lụi sả nướng,"Lớp ngoài là mực dai dai, bên trong là thịt xay, giò sống thêm vị của ớt sừng, tỏi băm đem nướng cùng với sả cây thơm lừng. Mực lụi sả nướng thơm nức mũi ăn kèm cơm trắng là quá hoàn hảo nhé mẹ ơi.",Món mặn,4 người,35,"Mực ống nhỏ 200g khoảng 4 con, Thịt xay 100g, Giò sống 50g, Sả cây 5 cây, Lá dứa 4 lá, Ớt sừng 1 trái, Sả băm, tỏi băm, ớt băm mỗi thứ 1 muỗng, ĂN KÈM: Cơm trắng, dưa leo, xà lách, húng lủi, Gia vị: tiêu, ớt bột, tương ớt, tắc, nước mắm, đường, Hạt nêm Aji-ngon Heo","Bật nóng lò nướng ở 220 độ C, cho mực lụi sả vào nướng khoảng 15 phút đến khi mực chín, lấy mực ra khỏi lò. Pha nước mắm sả: 1 muỗng tương ớt, 2 muỗng nước mắm, 1 muỗng đường, nặn vào 1 trái tắc, nếm vị chua ngọt vừa, thêm sả băm, tỏi băm và ớt băm vào.","món ngon từ mực, mực, mực lụi, mực nướng, mực sả nướng",392,25,5,29,36,https://monngonmoingay.com/wp-content/uploads/2019/01/muc-lui-sa-nuong-500.jpg,"392, 25, 5, 29, 36"
910,Chả giò sứa,"Miếng chả giò vàng ruộm, cắn một miếng giòn rụm như tan ra trong vị thanh thanh sừn sựt của sứa và vị thơm của vỏ chanh. Vừa lạ miệng, vừa bắt vị cực kì khi chấm cùng xốt mayonnaise beo béo.",Món mặn,4 người,50,"Sứa ngâm chua 100g, Bắp hạt luộc chín 50g, Chanh vàng 1 trái, Trứng gà 3 quả, Đậu xanh cà vỏ 100g, Hành lá cắt nhỏ 2 muỗng, Nước cốt chanh, Bánh tráng pía, bột chiên xù, Muối, tiêu, tương ớt, sữa đặc, dầu ăn, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Cho sứa, đậu xanh, hành lá, 1 muỗng vỏ chanh vàng và 50g bắp hạt vào tô, nêm 1/3 muỗng muối, 1/3 muỗng tiêu, 2 muỗng xốt Mayonnaise Aji-Mayo, trộn nhẹ tay đến khi đều rồi cho vào tủ lạnh. Cuốn chả giò: trải bánh tráng pía ra, cho nhân vào, sau đó cuộn tròn lại. Cuốn cho đến hết nhân. Nhúng chả giò vào trứng, lăn qua bột xù, rồi cho vào dầu nóng, chiên chín vàng với lửa lớn, vớt ra giấy thấm dầu. Pha xốt chấm : Trộn đều 2 muỗng Xốt Mayonnaise Aji-Mayo, 1 muỗng sữa đặc, 1 muỗng tương ớt, 1 muỗng nước chanh.","cha, chả giò, chả giò chiên, cha gio sua, món chiên, sua",350,22,8,26,6,https://monngonmoingay.com/wp-content/uploads/2017/11/cha-gio-sua-500.jpg,"350, 22, 8, 26, 6"
911,Sandwich trái cây chiên giòn,"Món Sandwich trái cây chiên giòn này có vị chua ngọt nhẹ của xốt Mayonnaise Aji-Mayo Ngọt Dịu, hương trái cây thơm nồng, vị bánh mì chiên giòn thơm ngon, chắc chắn sẽ là một món ăn nhẹ mà các bé sẽ rất thích",Món mặn,4 người,45,"Bột xù: 50g, Bánh mì sandwich: 4 lát, Lê: 1 lát, Dưa hấu không hạt: 1 lát, Thơm chín: 1 lát, Xà lách: 4 lá, Húng lủi: 1 ít, Trứng gà: 1 trái, Bột mì: 1 muỗng, Dầu ăn, Xốt Mayonnaise Aji-mayo Vị Ngọt Dịu","Đun nóng dầu ăn, nhúng cuốn sandwich qua hỗn hợp trứng, tẩm qua bột xù sau đó đem chiên vàng giòn, vớt ra để ráo dầu.","bánh trái cây, sandwich, trái cây",591,15,6,11,20,https://monngonmoingay.com/wp-content/uploads/2015/08/sanwich-trai-cay-chien-gion-880.jpg,"591, 15, 6, 11, 20"
912,Su hào xào hải sản,"Su hào là loại rau có độ giòn và vị ngọt khi xào, nên khi kết hợp với các loại hải sản sẽ có một món ăn ngon, hấp dẫn và thích hợp cho bữa ăn gia đình mùa hè, đảm bảo mang lại cảm giác sảng khoái, mát rượi. Xem thêm: các món xào ngon",Món mặn,4 người,30,"Tôm đất: 100g, Mực ống: 50g, Su hào: 200g, Cà rốt: 30g, Trứng gà: 1 quả, Hành lá, Hành tỏi băm, Ngò rí, Muối: 2 muỗng, Tiêu, Dầu ăn, Hạt nêm Aji-ngon Heo, Xốt Mayonnaise Aji-mayo Vị Nguyên Bản","Phi thơm hành tỏi băm, xào săn hải sản, trút ra dĩa, cho su hào, cà rốt vào xào, thêm 2 muỗng nước, xào đến khi su hào chín tới, cho hải sản vào, đảo đều rồi cho trứng, xào đến khi trứng chín, thêm hành lá, ngò rí, tắt bếp.","hải sản, mon xao de lam, su hào",213,38,4,19,6,https://monngonmoingay.com/wp-content/uploads/2015/08/IMG-0229-su-hao-xao-hai-san.png,"213, 38, 4, 19, 6"
